studentId,classId,decision,reason,status,termStart,termEnd,documentId
7rqiJZKI7fjUNw0MGH59,LMpRvmwnanq28ftRLvP3,exclude,NON_CURRENT_STATUS,,,,
7Wwyfnpw0QO6Bpz7y0Bq,pAKl7xpSLd1atr3eRofo,create,SAFE_CURRENT_ENROLLMENT,active,2026-06-23,2026-08-13,WyI3V3d5Zm5wdzBRTzZCcHo3eTBCcSIsInBBS2w3eHBTTGQxYXRyM2VSb2ZvIiwiMjAyNi0wNi0yMyJd
7x7vizcjl8ObOwP2PwPW,KrranixViHUAu0AGnohg,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-04,2026-08-23,WyI3eDd2aXpjamw4T2JPd1AyUHdQVyIsIktycmFuaXhWaUhVQXUwQUdub2hnIiwiMjAyNi0wNy0wNCJd
803l1jPS99rsUh2IwaRY,dIEGKNxQyAS4uRtQmnPq,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-13,2026-09-06,WyI4MDNsMWpQUzk5cnNVaDJJd2FSWSIsImRJRUdLTnhReUFTNHVSdFFtblBxIiwiMjAyNi0wNy0xMyJd
8aS0jUEsj8yxyikUe2l1,YEGhVcj27boYOrEf2iSE,exclude,NON_CURRENT_STATUS,,,,
8nMqbR9evx45BKPyhNyt,htDI41OT3fXxmNWfnknT,exclude,EXISTING_ENROLLMENT,,,,
8s9jXxZkSdATt5Ezizor,FigsTfwBAQzGlLBxfU2u,exclude,EXISTING_ENROLLMENT,,,,
8uXRfax2RNVq3v0HI6JT,tGtoavV6esqgyuTMKVUf,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-05,2026-08-29,WyI4dVhSZmF4MlJOVnEzdjBISTZKVCIsInRHdG9hdlY2ZXNxZ3l1VE1LVlVmIiwiMjAyNi0wNy0wNSJd
8V24p7VrP4T83OFCsiY8,htDI41OT3fXxmNWfnknT,exclude,EXISTING_ENROLLMENT,,,,
8zPcqAKCUmRCa4eYupwV,vNK2ADOv5VCXhP3Q2sOg,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-16,2026-09-08,WyI4elBjcUFLQ1VtUkNhNGVZdXB3ViIsInZOSzJBRE92NVZDWGhQM1Eyc09nIiwiMjAyNi0wNy0xNiJd
8ZuVRPEnOqrB7vy4t0J3,lmCjwxAFU0oXzXSBdjW8,exclude,EXISTING_ENROLLMENT,,,,
915AQlI2Rm7ixbqteK87,htDI41OT3fXxmNWfnknT,exclude,EXISTING_ENROLLMENT,,,,
95xZaZl0O3iN2LHuWIwe,ERCRTO9edy422YC37xiy,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-11,2026-08-30,WyI5NXhaYVpsME8zaU4yTEh1V0l3ZSIsIkVSQ1JUTzllZHk0MjJZQzM3eGl5IiwiMjAyNi0wNy0xMSJd
98AUfOHpY7fN4fxMP1HN,waoUqyi2aZ00NKgIcbIf,exclude,NON_CURRENT_STATUS,,,,
9D2F90nbAams2qSky8vm,ERCRTO9edy422YC37xiy,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-11,2026-08-30,WyI5RDJGOTBuYkFhbXMycVNreTh2bSIsIkVSQ1JUTzllZHk0MjJZQzM3eGl5IiwiMjAyNi0wNy0xMSJd
9gxClCJ84hL9oeMDuMEQ,bfKk4jq9TBB9vlnB4TjH,exclude,EXISTING_ENROLLMENT,,,,
9qGXuzuIN2aNUIfh7FOb,eIcP0Zb20aitPkMA9uFs,exclude,EXISTING_ENROLLMENT,,,,
9sUfWp5CuOPDIl4XFu6c,bfKk4jq9TBB9vlnB4TjH,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-10,2026-09-04,WyI5c1VmV3A1Q3VPUERJbDRYRnU2YyIsImJmS2s0anE5VEJCOXZsbkI0VGpIIiwiMjAyNi0wNy0xMCJd
9WlloV2zlsZcaGS2kSTe,bfKk4jq9TBB9vlnB4TjH,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-10,2026-09-04,WyI5V2xsb1YyemxzWmNhR1Mya1NUZSIsImJmS2s0anE5VEJCOXZsbkI0VGpIIiwiMjAyNi0wNy0xMCJd
9WsOLaUELrrAmjhBMmyR,waoUqyi2aZ00NKgIcbIf,exclude,NON_CURRENT_STATUS,,,,
9xTFsyU1dZ17xrrT3R6v,MbEjkY4bZPvUt9ykRpPu,exclude,ENDED_CLASS,,,,
9YcQq50qNUxxCXCUyNoE,XXTe0dcLydenBbhXkIHF,create,SAFE_CURRENT_ENROLLMENT,active,2026-06-20,2026-08-09,WyI5WWNRcTUwcU5VeHhDWENVeU5vRSIsIlhYVGUwZGNMeWRlbkJiaFhrSUhGIiwiMjAyNi0wNi0yMCJd
